Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page,Column_18,Column_19,Column_20,Column_21
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,MULTONMAH CNTY ORE,,54 55,17,50,451,186,76,90,101,25,175,207,266,305,323,,27,,,,
,,,53 55,471,,630,,43,53,64,77,89,106,126,146,202,,27,,,,
,LITCHFIELD,,,,,,,,,,,,,,,,,27,,,,
,,,54,5,17,,,17,17,33,33,46,46,83,83,90,,27,,,,
,,1755,55,17,9,102,56,17,28,41,44,64,67,73,83,90,,27,,,,
33,,,54 55,22,9,102,55,16,28,40,43,46,67,73,a3,90,,27,,,,
co,,,,,,,,,,,,,,,,,,27,,,,
am,,,,,,,,,,,,,,,,,,27,,,,
an,,,,,,,,,,,,,,,,,,27,,,,
on,,,,,,,,,,,,,,,,,,27,,,,
Nw,,,,,,,,,,,,,,,,,,27,,,,
om,,,,,,,,,,,,,,,,,,27,,,,
vo,,,,,,,,,,,,,,,,,,27,,,,
,G,ogle,,,,,,,,,,,,,,,,27,,,,
oa,O,,,,,,,,,,,,,,,,,27,,,,
=== TABLE 15: Pages 28-28 ===,,,,,,,,,,,,,,,,,,,,,,
,WATERBURY,,,,,,,,,,,,,,,,,28,,,,
,CONN,,,,,,,,,,,,3,,,,,28,,,,
,AVERAGE,,196,344,127,178,167,160,,,127,156,226,1014,,,,28,,,,
,,54 35,,,,,,,,,,,,,,,,28,,,,
,,,455,266,275,256,,203,,,,,,,,,,28,,,,
,AVERAGE,,378,243,175,163,151,141,,,,255,2738,,,,,28,,,,
,EV ERET T MASS,54 55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,214,165,156,69,215,109,,,,138,210,242,,,,28,,,,
,NE Yo Y,53 95,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,196,208,189,229,290,205,221,143,236,494,287,316,,,,28,,,,
,PH PA,53 55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,335,286,239,254,243,203,172,,203,292,403,353,,,,28,,,,
,WA,53 55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,302,324,154,179,,,181,163,186,361,555,413,,,,28,,,,
,ILLE,54 55,,,,,,,,,,,,,,,,28,,,,
,LO KY,,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,,217,180,229,157,136,,106,233,436,,320,,,,28,,,,
,CH ARLE WA,53 55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,349,379,280,255,244,217,184,,271,247,250,270,,,,28,,,,
,,,,,130,,170,,,,,125,128,123,,,,28,,,,
,TA MPA FLA,53 55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,205,214,146,91,119,139,124,93,88,153,168,164,,,,28,,,,
,MUM,,127,155,32,25,37,70,108,75,83,104,100,70,,,,28,,,,
,ATLANTA GA,53 55,,,,,,,,,,,,,,,,28,,,,
,,,11,475 16,390 14,10,9,9,288 5,406 4,298 3,280,728,474 8,,,,28,,,,
,AVER AGE,,235,268,199,,212,176,184,237,207,267,393,255,,,,28,,,,
,MUM,,56,121,,73,95,81,122,151,74,244,186,120,,,,28,,,,
,CHATTA NOOGA TENN,54 55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,199,334,201,159,267,160,,,,,2680 260,202,,,,28,,,,
,MUM,,48,87,150,53,235,94,,,,,98,46,,,,28,,,,
,,55,,,,,,,,,,,,,,,,28,,,,
,CH ILL,54,,,,,,,,,,10,,16,,,,28,,,,
,AVERAGE,,403,477,347,297,312,,272,312,190,726,497,407,,,,28,,,,
,EA ST,55,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,,,303,355,322,262,76,,,,,,,,,28,,,,
,,,,,144,35,106 106,73,67,,,,,,,,,28,,,,
,DETRO,53 54,,,,,,,,,,,,,,,,28,,,,
,AVER AGE,,,402,,416,381,508,304,,296,,543,,,,,28,,,,
,NCINNATI OHIO,53 55,,,,,,,,,,,,,,,,28,,,,
,MUM,,262,255,284,223,256,230,138,153,200,256,439,247,,,,28,,,,
,AVERAGE,,,,,,,,,,,,,,,,,28,,,,
=== TABLE 16: Pages 29-29 ===,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,45,,,29,,,,
,,,,,,,,,,,,,6,9,7,,,29,,,,
,,,,494,285,343,350,248,210,171,135,279,675,376,296,,,29,,,,
,,AVERAGE,,231,209,173,125,154,102,124,100,140,270,166,160,,,29,,,,
,,KA MO,53 55,,,,,,,,,,,,,,,29,,,,
,,,,458,187,430,132,264,292,164,,285,323,189,424,,,29,,,,
,,,,,143,,91,119,110,118,118,184,175,138,179,,,29,,,,
,,AVERAGE,,208,,,38,16,24,66,49,84,101,77,59,,,29,,,,
,,,,44,119,44,,,,,,,,,,,,29,,,,
,,NE ORLEANS LA,o4 55,,,,,,,,,,,,,,,29,,,,
,,AVERAGE,,217,152,,137,133,134,161,170,107,,128,206,,,29,,,,
,,FT TEXAS,53,,,,,,,,,,,,,,,29,,,,
,,,,3,7,11,5,7,10,4,4,6,4,7,5,,,29,,,,
,,AVERAGE,,171,201,145,,,,,,32,86,1353,110,,,29,,,,
,,,,152,126,16,75,,58,58,47,,,,,,,29,,,,
,,LA KEWORTH TEXAS,,,,,,,,,,,,,,,,29,,,,
,,AVERAGE,,74,95,65,138,103,68,49,97,93,78,129,139,,,29,,,,
,,TEXAS,,,,,,8,14,6,6,4,7,10,12,,,29,,,,
,,AVERAGE,,159,179,,119,170,114,70,154,177,298,269,305,,,29,,,,
,,BELLAIRE TEX AS,,,,,,,,,,,,,,,,29,,,,
,,AVERAGE,,115,72,160,91,135,146,90,117,123,125,195,144,,,29,,,,
,,,,74,44,126,88,67,65,76,100,36,87,101,62,,,29,,,,
,,DE NVER COL,54 95,,,,,,,,,,,,,,,29,,,,
,,,,238,181,440,207,218,240,224,227,127,374,339,,,,29,,,,
,,AVERAGE,,191,155,260,ive,127,118,150,188,115,273,282,,,,29,,,,
4,,,,153,144,,i120,86,65,69,174,101,172,243,,,,29,,,,
2,,LT LAKE TY UTAH,55,,,,,,,,,,,,,,,29,,,,
,,SA,,6,5,4,3,4,8,4,4,4,2,4,5,,,29,,,,
,,,,929,,,,,,,,,,378,350,,,29,,,,
,,AVERAGE,,537,488,,203,120,145,126,126,147,245,,,,,29,,,,
2,,ANCHORAGE AL ASKA,53 55,,,,,,,,,,,,,,,29,,,,
,,,,,637,466,930,365,230,181,227,239,670,454,,,,29,,,,
,,AVERAGE,,386,340,208,247,169,167,165,154,173,332,297,286,,,29,,,,
,,,,124 124,84,,39,40,,150,,113,162,139,114,,,29,,,,
am,,,,,,,,,,,,,,,,,,29,,,,
,,LO ANGELES CALIF,o4,,,,,,,,,,,,,,,29,,,,
,,,,,1433,985,666,810,494,421,,,,,,,,29,,,,
,,AVERAGE,,,1433,667,431,452,472,347,,,,,,,,29,,,,
,,,,,1433,434,181,228,450,274,,,,,,,,29,,,,
oe,,,,,,,,,,,,,,,,,,29,,,,
,,PA SADENA CAL,53 55,,,,,,,,,,,,,,,29,,,,
,,AVERAGE,,343,497,320,503,411,335,,334,724,1022,623,039,,,29,,,,
,,,,,,,,,,,,,,390,361,,,29,,,,
,,,,178,210,174,297,166,,426,309,355,395,,,,,29,,,,
,,BE,54 55,,,,,,,,,,,,,,,29,,,,
,,,,454,746,309,259,351,188,217,294,215,344,1030,870,,,29,,,,
,,AVERAGE,,2u0,,166,149,201,114,193,228,187,226,310,441,,,29,,,,
,,,,140,339,76,76,105,41,150,162,159,143,104,146,,,29,,,,
,,SA,54 55,,,,,,,,,,,,,,,29,,,,
,,,,,,,,6,6,,2,,3,5,3,,,29,,,,
,,AVERAGE,,S64,128,141,172,120,99,165,136,165,198,217,443,,,29,,,,
,,,,409,55,57,32,47,48,103,129,,164,89,203,,,29,,,,
,,,53 55,,,,,,,,,,,,,,,29,,,,
,,,,456,300,664,338,280,275,226,230,240,1935,2356,040,,,29,,,,
,,AVERAGE,,214,166,220,162,154,170,191,166,194,507,932,382,,,29,,,,
ca,,CG,ogle,,,,,,,,,,,,,,,29,,,,
oa,,O,,,,,,,,,,,,,,,,29,,,,
=== TABLE 17: Pages 30-30 ===,,,,,,,,,,,,,,,,,,,,,,
,MIDOLESEX CNTY MASS,54 55,,,,,,,,,,,,,,,,30,,,,
,AVERAGE,,106,87,99,90,82,105,,,,138,100,54,,,,30,,,,
,LA KEHURST N J,55,,,,,,,,,,,,,,,,30,,,,
,,,113,135,520,118,97,89,,,,,,,,,,30,,,,
,AVERAGE,,,83,520,88,,,,,,,,,,,,30,,,,
,,,50,42,520,63,25,75,,,,,,,,,,30,,,,
,KA NAWHA VA,54 35,,,,,,,,,,,,,,,,30,,,,
,,,205,251,232,208,257,146,147,231,122,114,,251,,,,30,,,,
,AVERAGE,,136,158,138,168,183,111,118,201,87,103,147,174,,,,30,,,,
,,,67,114,75,138,,63,80,172,,93,,97,,,,30,,,,
,LLSBOROUGH FLA,55,,,,,,,,,,,,,,,,30,,,,
,,,175,218,482,149,70,220,,70,110,220,140,8,,,,30,,,,
,,,,,,,,,65,,,,,157,,,,30,,,,
,A VERAGE,,106,110,156,85,46,,56 56,65,73,134,99,117,,,,30,,,,
,M,,43,28,,15,12,23,30,59,44,48,64,59,,,,30,,,,
,FU L TON,55,,,,,,,,,,,,,,,,30,,,,
,M,,198,204,,187,169,,99,105,152,131,203,,,,,30,,,,
,VERAGE,,,124,119,72,95,104,77,65,108,106,144,115,,,,30,,,,
,,,77,62,24,31,48,83,57,29,82,62,85,66,,,,30,,,,
,HA COUNTY OHIO,53 55,,,,,,,,,,,,,,,,30,,,,
,,,188,279,322,95 95,210,220 220,37,126,76,138,362,388,,,,30,,,,
,VERAGE,,125,140,144,71,134,169,35,69,59,99,183,201,,,,30,,,,
,,,69,68,42,52,53,89,33,38,46,77,39,,,,,30,,,,
,M,,161,,101,200,262,128,630,,61,91,243,65,,,,30,,,,
,VERAGE,,,83,,120,i27,68,253,,49,72,140,,,,,30,,,,
,,,76,57,41,77,45,41,53,,,,,,,,,30,,,,
,,,,,,,,,,,43,41,65,45,,,,30,,,,
,M,,349,232,,285,137,154,,,,,65,178,,,,30,,,,
,VERAGE,,181,154,93,112,60,75,,,,,65,124,,,,30,,,,
,,,79,93,54,19,17,34,,,,,65,90,,,,30,,,,
,DE NVER COUNTY COLO,54 35,,,,,,,,,,,,,,,,30,,,,
,,,,,,,,,,,,,,4,,,,30,,,,
,A VERAGE,,101,104,96,44,B81,66,,83,54,,85,75,,,,30,,,,
,SA L T UTAH,53 55,,,,,,,,,,,,,,,,30,,,,
,MA,,211,307,261,87,52,100,70,77,54,100,130,355,,,,30,,,,
,ERAGE,,143 143,179,106,69,47,58,53,72,43,76,70,147,,,,30,,,,
,,,109,52,63,58,40,24,38,68,36,,23,55,,,,30,,,,
,MU LT NOMAH CNTY ORE,54 55,,,,,,,,,,,,,,,,30,,,,
,MA,,,104,289,,,,76,,102,296,451,,,,,30,,,,
,AV ERAGE,,,104,289,,81,,76,,102,187,263,,,,,30,,,,
,NIMUM,,,104,289,,50,,76,,102,100,88,,,,,30,,,,
,CNTY CONN,54 55,,,,,,,,,,,,,,,,30,,,,
,MA,,113,100,43,26,102,76,,,81,80,,,,,,30,,,,
,AV ERAGE,,97,,23,26,58,56,,,81,42,,,,,,30,,,,
,,,,68,9,26,30,40,,,81,17,,,,,,30,,,,
,,,,,,,,,,,,2,,,,,,30,,,,
=== TABLE 18: Pages 31-35 ===,,,,,,,,,,,,,,,,,,,,,,
,,,,10 48,38,,,38,,,,,,,,,,31,,,,
,,,,,,262,138,,44,,120,159,171,183,197,211,,31,,,,
,,,,45,12,281,113,48,56,71,84,104,123,138,155,,,31,,,,
,,,55 56,55,12,281,118,45,54,,87,112,129,149,175,211,,31,,,,
,HARTFORD,,57,26,26,440,108,43,53,59,65,84,107,,120,,,31,,,,
,NEW HAVEN CONN,,57,23,27,199,89,38,Si,55,59,78,90,112,138,171,,31,,,,
,CONN,,57,26,17,217,79,44,49,55,59,66,75,90,104,129,,31,,,,
,,,57,1s,15,290,98,29,,55,68,82,90,138,149,171,,31,,,,
,BOSTON MASS,,55,26,61,179,122,84,94,04,109,115,125,134,159,169,,31,,,,
,,,56,46,35,615,137,68,74,86,109,117,131,152,178,222,,31,,,,
,,,57,26,44,182,99,53,57,65,73,90,104,126,145,is9,,31,,,,
,,,57,98,35,615,123,61,73,85,104,,123,138,161,179,,31,,,,
,MASS,,95,7,20,117,63,22,22,38,64,,68,73,,,,31,,,,
,,,,,,,,,,,,68,,,78,78,,31,,,,
,,,56,18,10,50,30,11,ei,22,29,31,33,40,42,44,,31,,,,
,,,55 56,25,10,117,39,17,21,29g,31,38,40,44,Si,73,,31,,,,
,EVERETT MASS,1155,,26,24,318,103,44,,64,68,82,97,120,149,,,31,,,,
,,,56,43,36,291,101,,60 60,64,68,,95,104,129,197,,31,,,,
,,,55 56,69,24,318,102,46,,64,70,83,94,109,135,197,,31,,,,
,LAWRENCE MASS,,57,26,17,123,47,18,21,27,29,36,42,62,73,,,31,,,,
,LYNN MASS,,57,el,,333,101,,,,,,,,,,,31,,,,
,,,,,21,,,33,51,59,68,76,84,120,138,,,31,,,,
,,,,,,,,,,,,,,66,,,,31,,,,
,SOMERVILLE MASS,,,26,17,120,57,31,38,46,49,55,61,66,73,78,,31,,,,
,WORCESTER MASS,,57,,20,137,69,25,38,,61,68,78,85,90,,,31,,,,
,MANCHESTER N H,,57,,16,107,52,25,30,33,38,44,,,78,97,,31,,,,
,PROVIDENCE R,,57,27,33,700,111,,56,65,75,86,97,110,120,,,31,,,,
,VT,,57,26,38,,,,,,,,,,,,,31,,,,
,,,,,,45,24,14,16,,23,24,25,30,32,35,,31,,,,
,ELEZABETH N J,,55,19,27,284,,29,65,78,90,115,120,129,138,262,,31,,,,
,,,56,14,35,128,69,38,46,48,,64,68,84,90,120,,31,,,,
,,,55 56,33,27,284,99,38,49,63,68,84,104,116,127,ig3,,31,,,,
,,1155,55,22,23,160,80,44,51,57,,,,90,,,,31,,,,
,,1156,,,,,,,,,68,78,84,,112,120,,31,,,,
,,,56,19 414,39,183,80,41,44,55,64,73,78,97,112,129,,31,,,,
,,,55 56,41,23,183,80,42,49,,62,76,85,99,112,129,,31,,,,
,CAMDEN N J,1755,55,,30,321,106,44,59,68,93,101,109,120,132,149,,31,,,,
,,,56,16,55,2341123 234,123,68,75,78,97,104,129,159,167,,,31,,,,
,,,,26,44,245,115,59,78,84,88,97,112,129,159,211,,31,,,,
,,,55 57,65,30,321,114,57,71,85,93,101,112,130,151,211,,31,,,,
,PERTH AMBOY,,55,19,45,184,89,47,590,59,65,78,84,108,116,,,31,,,,
,,,36,17,29,194,82,44,46,,59,B81,84,90,112,120,,31,,,,
,,,55 56,36,29,194,86,46,48,54,62,78,86,104,115,149,,31,,,,
,J,,55,14,,318,89,19,38,44,55,59,81,,90,,,31,,,,
,,1156,56,,29,302,78,40,44,46,,56,61,66,68,1368,,31,,,,
,,,55 56,32,18,318,83,36,41,48,53,57,64,78,90,197,,31,,,,
,JERSEY N J,1155,55,22 22,67,225,1153,71,78,90,95,99,104,120,159,Lud,,31,,,,
,,,56,,48,467,124,59,68,78,90,104,120,132,138,159,,31,,,,
,,,,25,49,238,118,68,81,90,97,109,120,134,149,211,,31,,,,
,,,55 57,,,,,,,,,,,,,,,31,,,,
,,,,65,48,467,118,66,78 78,87,95,103,115,130,146,192,,31,,,,
,EAST ORANGE,,57,21,16,358,87,18,19,,31,73,84,104,152,,,31,,,,
,NEWARK N J,,57,,47,378,102,49,59,62,68,72,76,90,104,138,,31,,,,
,NEW YORK N Y,,57,25,48,239,117,68,72,78,104,120,127,138,149,211,,31,,,,
,,,55,16,37,402,134,44,48,59,68,104,138,171,211,262,,31,,,,
,,,56,33,17,344,108,51,68,80,88,99,115,125,135,159,,31,,,,
,,,55 56,49,17,402,116,46,62,73,85,101,120,131,,,,31,,,,
,,,,,,,,,,,,,,,149,197,,31,,,,
,,3755,55,15,,164,80,33,51,59,62,68,82,90,104,171,,31,,,,
,,3156,56,24,18,311,83,24,33,44,68,73,78,90,120,138,,31,,,,
,,,55 56,39,,311,82,25,38,55,64,73,BO,88,112,138,,31,,,,
,,4155,55,9,26,,55,29,33,51,55,59,,64,68,u4,,31,,,,
,,,55,40,24,402 402,96,33,,,61,,,,,,,31,,,,
,,,56,,17,,,,48,54,,67,83,97,138,,,31,,,,
,,,57,25,,344,97,33,54,69,77,86,101,120,131,149,,31,,,,
,,,55 57,,,239,117,68,72,78,104,120,127,138,149,211,,31,,,,
,,,,122,17,402,101,38,54,64,74,85,102,122,136,175,,31,,,,
,BINGHAMTON N Y,,57,26,32,173,68,38,41,46,,64,68,73,B84,104,,31,,,,
,N Y,,57,6,22,123,,22,22,29,29,38,S1,,78,78,,31,,,,
,,2157,,15,34,343,,48,51,82,86,108,,120,138,183,,31,,,,
,,,57,,22,343,95,29,38,49,73,86,108,116,129,159,,31,,,,
,SCHENECTADY N Y,,57,22,19,236,49,24,26,,,37,,,,,,31,,,,
,,,,,,,,,,31,34,,44,48,54,39,,31,,,,
,,,57,26,30,283,79,38,45,49,51,64,73,90,109,120,,31,,,,
,,,,,,,,,37,,,51,,,,120,,32,,,,
,,,,24,26,139,65,29,,41,48,,56,84,,,,32,,,,
,PHILADELPHIA PA,,55,158,16,428,133,64,79,89,102,113,127,149,177,243,,32,,,,
,,,56,307,34,731,141,66,80,93,108,120,131,149,182,226,,32,,,,
,,,55 56,465,16 16,731,138,65 65,80,92,106,118,130,149,180,234,,32,,,,
,,4155,55,20,123,469,215,138,159,169,178,188,197,206,262,347,,32,,,,
,,4156,56,231,34,829,189,,112,128,144,160,162,205,245,,,32,,,,
,,,,25,48,277,133,68,81,90,125,138,146,139,,204,,32,,,,
,,,,276,34,,186,84,112,129,144,160,181,201,239,322,,32,,,,
,,,57,,,829,,,,,,,,,,,,32,,,,
,,,55,16,24,229,87,30,31,33,41,59,65,68,138,222,,32,,,,
,,,56,41,23,459,111,33,46,53,68,82,97,120,159,227,,32,,,,
,,,55 56,57,23,459,104,31,38,49,,73,90,115,159,224,,32,,,,
,,6155,55,12,64,195,124,68,73,104,120,126,132,138,171,,,32,,,,
,,6156,56,42,42,616,127,59,69,77,90,101,125,142,164,1383,,32,,,,
,,,56,54,42,616,126,61,71,77,95,109,128,145,162,,,32,,,,
,,7155,55,,129,308,199,138,138,159,,183,211,211,280,2380,,32,,,,
,,,56,38,37,730,176,65,78,90,104,126,159,192,222,322,,32,,,,
,,,55 56,44,37,730,179,65,82,97,120,138,165,197,232,322,,32,,,,
,,,55,212,16,469,139,60,76,92,107,120,136,165,192,250,,32,,,,
,,,56,659,23,829,,65,82,100,116,130,147,173,204,268,,32,,,,
,,,57,25,48,277,133,68,81,90,125,138,146,159,183,204,,32,,,,
,,,55 57,896,16,829,152,64,81,97,113,128,145,170,200,260,,32,,,,
,ALTOONA PA,,55,,112,179,142,,120,120,120,138,138,138,138,,,32,,,,
,,,56,24,35,490,115,38,48,59,73,84,104,132,159,211,,32,,,,
,,,55 56,27,35,490,118,41,48,64,78,104,120,134,171,197,,32,,,,
,,1455,55,22,7,158,69,17,33,51,,,73,90,101,120,,32,,,,
,,,56,12,1s,224,63,,35,38,,54,56,,73,78,,32,,,,
,,,55 56,34,,224,67,19,36,44,53,57,64,76,94,120,,32,,,,
,,1755,55,23,34,350,91,40,44,53,56,68,82,90,112,183,,32,,,,
,,,56,13,23,209,,24,33,51,64,78,95,99,104,120,,32,,,,
,,,55 56,36,23,350,87,38,43,53,57,68,86,97,,138,,32,,,,
,ERIE PA,,,1,90,90,90,,,,,90,90,90,90,90,,32,,,,
,,,56,46,8,106,46,23,25,30,38,43,,59,64,,,32,,,,
,,,55 56,49,8,106,47,23,25,31,39,44,51,59,65,78,,32,,,,
,,,56,71,,322,116,41,62,85,95,104,120,134,159,204,,32,,,,
,,,57,23,21,361,103,29,51,59,72,78,90,115,129,227,,32,,,,
,,,56 57,95,10,361,412,41,57,76,90,101,114,130,152,211,,32,,,,
,,1755,,6,74,360,215,78,78,159,159,197,211,211,322,322,,32,,,,
,,,,40,44,414,156,95,108,116,125,135,151,188,206,235,,32,,,,
,,,55 56,46,44,414,164,95,108,118,128,142,159,194,211,243,,32,,,,
,,,57,19,21,97,59 59,29,44,48,51,61 61,64,68,75,84,,32,,,,
,,,,11,,235,107,19,51,59,71,78,120,159,183,211,,32,,,,
,,,57,11,43,233,80,41,44,59,64,71,73,76,78,90,,32,,,,
,,,57,26,24,301,123,38,48,56,68,78,120,,,,,32,,,,
,,,55,25,41,365 3651148,148,68,90,114,120,145,159,183,197,227,,32,,,,
,,,56,22,34,550,160,59,78,101,120,132,159,175,211,243,,32,,,,
,,,55 56,47,34,550,154,68,90,107,120,138,159,179,202,227,,32,,,,
,,3156,56,,,,,,,,,,,,,,,32,,,,
,,,,14,19,251,109,19,Si,55,90,97,104,149,159,211,,32,,,,
,,,57,26,9,162,64,30,33,37,41,47,,59,90,145,,32,,,,
,,,56 57,40,9,251,80,30,35,41,48,53,73,97,142,159,,32,,,,
,,,55,25,41,365,148,68,90,114,120,145,159,183,197,227,,32,,,,
,,,56,36,19,550,140,,,92,99,125,145,165,192,227,,32,,,,
,,,57,26,9,162,64,30,33,37,41,47,,59,90,145,,32,,,,
,,,55 57,87,9,550,119,36,46,59,a7,109,130,152,177,207,,32,,,,
,LOUISVILLE KY,,,20,30,706,,,68,78,,,104,,,,,32,,,,
,,,,,,,,,,,93,98,,211,243,491,,32,,,,
,,1156,56,23,43,198 198,95,54,61,64,68,84,97,120,132,,,32,,,,
,,,,,110,110,110,,,,,120,120,120,120,120,,32,,,,
,,,55 a 57,44,30,,138,54,63,68,82,94,102,132,183,371,,32,,,,
,,,55,14,29,276,138,29,51,68,112,120,138,183,227,,,32,,,,
,,,56,5,58,146,100,59,59,68,68,104,104,138,138,,,32,,,,
,,,55 56,19,29,276,128,44,59,68,104,120,129,149,183,,,32,,,,
,,4157,57,15,15,268,109,,59 59,B81,84,90,97,120,171,,,32,,,,
,,,,34,,,,,,,,,,,,,,32,,,,
,,,,,29,706,167,44,65,78,97,104,138,211,235,371,,32,,,,
,,,56,28,48,198,96,55,61,64,68,84,99,125,134,159,,32,,,,
,,,57,16,15,268,109,,59,81,84,90,104,112,171,183,,32,,,,
,,,55 57,78,15,706,130,52,62,68,85,96,110,138,177,243,,32,,,,
,,,56,27,85,952,220,85,90,120,134,152,183,227,280,,,32,,,,
,,,57,26,25,336,112,54,59,82,90,98,112,126,159,i75,,32,,,,
,,,56 57,53,25,952 9521167,167,59,,92,102,125,138,165,202,371,,32,,,,
,,,57,25,23,,,41,46,51,73,109,120,159,175,200,,32,,,,
,,,,26,12,298,84,22,38,49,52,56,68,78,138,,,32,,,,
,,,,21,16,118,48,16,22,33,41,49,55,61,64,68,,33,,,,
,SAN,,,,,,,,,,,,,,,,,33,,,,
,NORFOLK VA,,57,25,33,163,85,38,53,59,64,78,86,109,120,154,,33,,,,
,RICHMOND VA,,,26,25,198,82,36,44,51,55,68,90,109,138,149,,33,,,,
,VA,,55,17,36,367,126,44,51,68,90,112,120,138,197,211,,33,,,,
,,,56,23,46,366,129,55,78,90,97,107,114,120,138,243,,33,,,,
,,,57,23,24,227,82,25,38,42,48,56,68,97,129,1383,,33,,,,
,,,55,63,24,367,111,38,49,58,78,96,109,123,149,222,,33,,,,
,WHEELING VA,,56,11,53,261,113,55,,73,78,104,120,138,159,1383,,33,,,,
,,,57,25,45,437,168,82,90,97,102,129,183,204,227,371,,33,,,,
,,,56 57,36,45,437,152,71,82,94,99,112,138,183,211,280,,33,,,,
,,1755,55,22,32,247,92,46,,65,71,78,90,104,129,171,,33,,,,
,,,56,38,7,205,80,44,,55,690 60,65,78,90,104,138,,33,,,,
,,,57,26,,99,54,34,37,42,46,51,,68,76,82,,33,,,,
,,,55 57,86,,247,75,37,46,,58,65,74,83,99,129,,33,,,,
,FLA,1157,57,25,31,,,31,32,36,40,48,,68,,99,,33,,,,
,ATLANTA GA,1755,s5,29,61,803,159,69,74,78,94,104,115,132,167,211,,33,,,,
,,,56,34,63,525,149,78,85,90,110,120,131,152,175,301,,33,,,,
,,,57,26,41,165,81,56,61,68,73,79,63,8s,89,104,,33,,,,
,,,55 57,89,41,803,132,65,73,80,86,94,109,126,154,211,,33,,,,
,,,57,27,35,221,80,39,40,43,,73,81,90,120,149,,33,,,,
,,,57,24,8,220,53,8,18,19,33,36,41,51,73,120,,33,,,,
,,,57,24,24,350,116,33,48,54,64,78,104,183,197,243,,33,,,,
,GREENVILLE sc,,57,29,31,292,110,38,46,,72,78,99,120,159,262,,33,,,,
,HATTANOOGA TENN,,55,18,9,251,84,31,48,,,61,66,73,78,159,,33,,,,
,,,56,24,29,155,80,44,,59,64,68,75,97,109,138,,33,,,,
,,3157,57,13,29,597,139,29,38,48,,68,189,171,183,211,,33,,,,
,,,57,55,9,597,95,36,48,56,61,66,72,104,142,,,33,,,,
,,,55,21,84,733,226,95,104,120,129,159,211,232,322,491,,33,,,,
,,4156,56,24,69,540,198,84,104,126,149,165,177,,268,399,,33,,,,
,,,57,18,44,367,176,104,120,126,138,152,167,1853,227,322,,33,,,,
,,,57,63,44,733,201,92,110,125,136,159,177,217,268,399,,33,,,,
,,,55,39,9,733,160,48,59,68,95,120,134,159,227,322,,33,,,,
,,,56,48,29,540,139,55,64,73,90,108,129,154,177,268,,33,,,,
,,,,31,29,597,160,38,51,104,126,149,164,178,211,322,,33,,,,
,,,55,118,9,733,,48,61,73,99,122,142,166,205,301,,33,,,,
,,1157,57,26,52,337,135,,68,76,90,125,138,159,192,211,,33,,,,
,,1157,,28,35,560,107,,,,73,,88,109,120,,,33,,,,
,,,,,,,,51,,62,,82,,,,,,33,,,,
,CHICAGO,,53,37,52,500,,96,104,138,150,167,192,232,271,322,,33,,,,
,,,56,11,86,403,235,90,112,120,159,243,280,347,371,399,,33,,,,
,,,55,48,,500,204,96,115,138,152,171,,250,280,359,,33,,,,
,,,55,22,75,479,222,90,120,190,204,222,243,262,294,322,,33,,,,
,,,56,13,54,575,236,59,104,138,159,255,268,2680,301,427,,33,,,,
,,,55 56,35,54,S75,227,90,120,183,200,232,254,275,297,371,,33,,,,
,,,55,,,232,96,23,39,,68,76,108,138,152,197,,33,,,,
,,,,,8,,,,,44,,,,,,,,33,,,,
,,4156,56,9,21,267,119,22,33,44,68,120,120,149,159,243,,33,,,,
,,,56,57,8,267,99,23,33,44,68,78,110,141,156,211,,33,,,,
,,,,8,52,235,111,55,59,59,76,90,120,138,138,159,,33,,,,
,,,35,107,8,500,156,40,69,92,117,144,1653,202,237,280,,33,,,,
,,,56,33,21,575,204,44,90,115,143,183,243,265,301,390,,33,,,,
,,,57,8,52,235,,55,59,59,78,90,120,138,138,159,,33,,,,
,,,55 57,148,8,575,164,42,71,94,118,145,169,213,249,304,,33,,,,
,ILL,,55,19,73,616,242,129,145,159,183,232,243,268,322,399,,33,,,,
,,,56,30,68,414,167,90,101,109,115,126,,197,243,322,,33,,,,
,,,55 56,49,68,618,196,94,109,120,138,167,197,235,273,355,,33,,,,
,,,55,18,26,4281139 428,139,33,75,78,90,104,126,138,159,301,,33,,,,
,,2156,56,32,21,167,69,25,36,44,54,61,68,78,90,138,,33,,,,
,,,55 56,,21,428,94,29,40,54,66,75,84,99,,171,,33,,,,
,,,55,37,,618,192,,,,,,,,,,,33,,,,
,,,,,26,,,73,84,120,134,154,183,243,294,371,,33,,,,
,,,,,,414,116,36,51,66,60,96,110,125,175,243,,33,,,,
